id,parcel_let,parcel_sec,parcel_num,jid,demolished
425,B,95,15,425,1975/01/01
426,B,95,7,426,1975/01/01
427,B,95,14,427,1975/01/01
428,B,95,8,428,1972/01/01
429,B,95,13,429,1975/01/01
430,B,95,9,430,1975/01/01
431,B,95,10,431,1975/01/01
432,B,95,11,432,1975/01/01
433,B,95,12,433,1975/01/01
434,B,184,1,434,1975/01/01
435,B,184,2,435,1975/01/01
436,B,184,3,436,1975/01/01
437,B,101,1,437,1972/01/01
438,B,101,8,438,1972/01/01
439,B,101,2,439,1975/01/01
440,B,101,3,440,1975/01/01
441,B,101,4,441,1975/01/01
442,B,101,9,442,1975/01/01
443,B,101,7,443,1975/01/01
444,B,101,5,444,1975/01/01
445,B,101,6,445,1972/01/01
446,B,96,1,446,1972/01/01
447,B,96,2,447,1972/01/01
448,B,96,3,448,1975/01/01
449,B,96,4,449,1975/01/01
450,B,96,7,450,1975/01/01
451,B,96,6,451,1975/01/01
452,B,96,5,452,1975/01/01
453,B,110,,453,1975/01/01
454,B,110,,454,1975/01/01
455,B,110,,455,1975/01/01
456,B,111,,456,
457,B,111,3,457,1972/01/01
458,B,111,4,458,1975/01/01
459,B,111,5,459,1975/01/01
460,B,111,6,460,1975/01/01
461,B,110,1,461,1975/01/01
462,B,110,,462,1972/01/01
463,B,110,5,463,1972/01/01
464,B,110,2,464,1975/01/01
465,B,110,3,465,1975/01/01
466,B,110,4,466,1975/01/01
467,B,117,,467,
468,B,117,4,468,
469,B,117,5,469,
470,B,117,10,470,
471,B,117,6,471,
472,B,117,9,472,1972/01/01
473,B,117,7,473,
474,B,117,8,474,
475,B,117,3,475,
476,B,117,2,476,1972/01/01
477,B,117,1,477,
478,B,117,13,478,
479,B,117,12,479,1972/01/01
480,B,117,11,480,
481,B,115,1,481,
482,B,115,15,482,
483,B,115,14,483,
484,B,115,13,484,1972/01/01
485,B,115,12,485,1972/01/01
486,B,115,2,486,
487,B,115,16,487,1972/01/01
488,B,115,17,488,
489,B,115,3,489,
490,B,115,4,490,
491,B,115,10,491,1972/01/01
492,B,115,11,492,
493,B,115,6,493,
494,B,115,5,494,
495,B,115,7,495,1972/01/01
496,B,115,8,496,
497,B,115,9,497,
498,B,121,1,498,1972/01/01
499,B,121,2,499,1975/01/01
500,B,121,3,500,1975/01/01
501,B,121,4,501,1975/01/01
502,B,121,5,502,1975/01/01
503,B,121,6,503,1975/01/01
504,B,121,17,504,1975/01/01
505,B,121,7,505,1975/01/01
506,B,121,13,506,1975/01/01
507,B,121,8,507,1972/01/01
508,B,121,12,508,1975/01/01
509,B,121,11,509,1972/01/01
510,B,121,9,510,1972/01/01
511,B,121,18,511,1975/01/01
512,B,121,10,512,1975/01/01
513,B,121,14,513,1975/01/01
514,B,121,15,514,1975/01/01
515,B,121,16,515,1975/01/01
,,,,,
